,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7620,PRESERVED_SPECIMEN,Heisteria skutchii,902785,GBIF,Herrera Chacón 3937,Manuel Vargas,,9.68,-83.07,"R.B. Hitoy Cerere; Valle de la Estrella. Sendero El Níspero, camino a Cerro Bobócara.",1990.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
14736,PRESERVED_SPECIMEN,Heisteria skutchii,1400952,GBIF,Skutch 4896,Manuel Vargas,,9.37222,-83.65333000000001,Basin of El General,1940.0,1,1,1,,WGS84,2020,Alexander F. Skutch
22930,PRESERVED_SPECIMEN,Heisteria skutchii,1597492,GBIF,,Manuel Vargas,,9.680556,-83.072222,"Sendero El Nispero, camino a Cerro Bobocara.",1990.0,1,1,1,,WGS84,2020,Gerardo Herrera
24595,PRESERVED_SPECIMEN,Heisteria skutchii,V0066215F,GBIF,4896,Manuel Vargas,,9.6667,-84.0,,1940.0,1,1,1,,WGS84,2020,A. F. Skutch
