,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
7131,PRESERVED_SPECIMEN,Psychotria herrerana,V0360460F,GBIF,3306,Manuel Vargas,,10.0114,-83.9519,,1989.0,1,1,1,,WGS84,2020,G. Herrera C.
9346,PRESERVED_SPECIMEN,Psychotria herrerana,515056,GBIF,Herrera Chacón 3306,Manuel Vargas,,9.420833,-82.983333,Croriña. Base y ladera intermedia del Cerro Cruibeta.,1989.0,1,1,1,,WGS84,2020,Gerardo Herrera Ch.
23722,PRESERVED_SPECIMEN,Psychotria herrerana,1554282,GBIF,,Manuel Vargas,,9.420833,-82.983333,Crorina. Base y ladera intermedia del Cerro Cruibeta.,1989.0,1,1,1,,WGS84,2020,Gerardo Herrera
